id,host_id,availability_365,number_of_reviews_ltm
1115823340562547441,507518052,307,54.0
660521529878840414,14162823,342,54.0
14020724,383697,282,54.0
871573460821449024,510429037,64,54.0
3167271,1029387,51,54.0
29841287,6797428,112,54.0
600816336329278538,101486625,318,54.0
37791017,178208020,281,54.0
29841719,6797428,127,54.0
1411945,7612142,295,54.0
29149684,40676061,89,53.0
30787688,3556337,295,53.0
50316594,44774469,281,53.0
11728465,8635649,211,53.0
644063574240339817,12385333,75,53.0
1354875,3885805,120,53.0
842692205814831591,160554212,195,53.0
639532767514790712,3556337,311,53.0
25652280,10609276,192,53.0
5141070,10380563,45,53.0
841259680279946238,8276516,309,53.0
698508343392952591,54716818,15,53.0
939544926988227697,32037490,184,53.0
3738979,582060,43,53.0
17798665,4124827,38,53.0
8880938,17688149,129,53.0
642491256537309701,436641358,137,53.0
11884918,63374052,117,53.0
2248576,11482245,101,53.0
945564,1432835,64,53.0
22949272,40676061,87,53.0
53836100,116187200,230,53.0
3763933,582060,49,53.0
31400628,155203517,81,53.0
28327254,147646238,184,53.0
22409838,164049819,25,53.0
1296121,7046025,272,53.0
695025903626637695,541443871,319,53.0
24333231,168172986,291,53.0
603015393676553098,101486625,332,53.0
23334103,173795502,320,53.0
1291971,7024519,300,53.0
689699264595792558,313105478,33,53.0
49206922,396097003,335,53.0
19193802,134265729,288,53.0
14813836,86690735,283,53.0
1109989,6092480,309,53.0
3118841,15846191,2,53.0
23690532,145868022,20,53.0
14667676,21483975,102,53.0
45932971,178208020,303,53.0
18887616,76355464,114,53.0
936781,5057234,151,53.0
1024439156015801160,431122814,43,53.0
654164495421642086,465352565,22,53.0
21390937,139063900,239,52.0
29184270,64269533,337,52.0
921511132076704644,446797445,31,52.0
956768,5201227,298,52.0
1018581953489088586,337411381,305,52.0
1012225446607243087,543824332,6,52.0
46730233,10380563,109,52.0
18666614,1391607,70,52.0
856379874708120145,114338664,331,52.0
36053561,270258032,359,52.0
52976628,428500921,351,52.0
331026,440881,303,52.0
965712,5170597,301,52.0
853377448782483198,9400556,9,52.0
34879625,4064440,211,52.0
964909131579957007,146119205,202,52.0
614192219450141466,264070042,171,52.0
23621398,21483975,90,52.0
53536520,433396597,74,52.0
957657,2935086,262,52.0
37068370,278812414,79,52.0
8058065,40676061,86,52.0
926555538193769079,12274801,326,52.0
1069480841499856359,381581981,295,52.0
1478299,7906740,267,52.0
588996,2843608,93,52.0
